user_id,n_posts,w0,w1,w2,assignment_type
user_0304,100,0.06,0.13,0.81,hard
user_0305,100,0.25,0.39,0.36,hard
user_0306,100,0.43,0.45,0.12,hard
user_0307,100,0.36,0.07,0.57,hard
user_0308,100,0.12,0.47,0.41,hard
user_0309,100,0.82,0.06,0.12,hard
user_0310,100,0.1,0.82,0.08,hard
user_0311,100,0.06,0.08,0.86,hard
user_0312,100,0.3,0.34,0.36,hard
user_0313,100,0.52,0.43,0.05,hard
user_0314,100,0.43,0.12,0.45,hard
user_0315,100,0.09,0.5,0.41,hard
user_0316,100,0.87,0.07,0.06,hard
user_0317,100,0.08,0.81,0.11,hard
user_0318,100,0.08,0.11,0.81,hard
user_0319,100,0.37,0.28,0.35,hard
user_0320,100,0.53,0.36,0.11,hard
user_0321,100,0.5,0.03,0.47,hard
user_0322,100,0.04,0.47,0.49,hard
user_0323,100,0.79,0.11,0.1,hard
user_0324,100,0.08,0.83,0.09,hard
user_0325,100,0.09,0.09,0.82,hard
user_0326,100,0.25,0.42,0.33,hard
user_0327,100,0.45,0.45,0.1,hard
user_0328,100,0.48,0.08,0.44,hard
user_0329,100,0.08,0.44,0.48,hard
user_0330,100,0.78,0.09,0.13,hard
user_0331,100,0.1,0.82,0.08,hard
user_0332,100,0.11,0.12,0.77,hard
user_0333,100,0.44,0.26,0.3,hard
user_0334,100,0.45,0.44,0.11,hard
user_0335,100,0.33,0.12,0.55,hard
user_0336,100,0.15,0.49,0.36,hard
user_0337,100,0.81,0.11,0.08,hard
user_0338,100,0.12,0.75,0.13,hard
user_0339,100,0.11,0.13,0.76,hard
user_0340,100,0.36,0.34,0.3,hard
user_0341,100,0.36,0.47,0.17,hard
user_0342,100,0.44,0.09,0.47,hard
user_0343,100,0.07,0.43,0.5,hard
user_0344,100,0.78,0.07,0.15,hard
user_0345,100,0.05,0.88,0.07,hard
user_0346,100,0.09,0.08,0.83,hard
user_0347,100,0.34,0.28,0.38,hard
user_0348,100,0.46,0.44,0.1,hard
user_0349,100,0.44,0.12,0.44,hard
user_0350,100,0.03,0.38,0.59,hard
user_0351,100,0.71,0.14,0.15,hard
user_0352,100,0.08,0.79,0.13,hard
user_0353,100,0.1,0.06,0.84,hard
user_0354,100,0.34,0.34,0.32,hard
user_0355,100,0.48,0.42,0.1,hard
user_0356,100,0.48,0.13,0.39,hard
user_0357,100,0.11,0.48,0.41,hard
user_0358,100,0.78,0.12,0.1,hard
user_0359,100,0.1,0.79,0.11,hard
user_0360,100,0.1,0.1,0.8,hard
user_0361,100,0.38,0.31,0.31,hard
user_0362,100,0.47,0.46,0.07,hard
user_0363,100,0.47,0.12,0.41,hard
user_0364,100,0.07,0.56,0.37,hard
user_0365,100,0.77,0.13,0.1,hard
user_0366,100,0.1,0.83,0.07,hard
user_0367,100,0.14,0.08,0.78,hard
user_0368,100,0.33,0.28,0.39,hard
user_0369,100,0.44,0.48,0.08,hard
user_0370,100,0.41,0.1,0.49,hard
user_0371,100,0.1,0.45,0.45,hard
user_0372,100,0.81,0.13,0.06,hard
user_0373,100,0.1,0.81,0.09,hard
user_0374,100,0.05,0.11,0.84,hard
user_0375,100,0.33,0.26,0.41,hard
user_0376,100,0.41,0.49,0.1,hard
user_0377,100,0.4,0.16,0.44,hard
user_0378,100,0.08,0.45,0.47,hard
user_0379,100,0.84,0.03,0.13,hard
user_0380,100,0.06,0.84,0.1,hard
user_0381,100,0.1,0.11,0.79,hard
user_0382,100,0.2,0.41,0.39,hard
user_0383,100,0.42,0.45,0.13,hard
user_0384,100,0.51,0.12,0.37,hard
user_0385,100,0.07,0.46,0.47,hard
user_0386,100,0.82,0.08,0.1,hard
user_0387,100,0.13,0.7,0.17,hard
user_0388,100,0.07,0.1,0.83,hard
user_0389,100,0.4,0.3,0.3,hard
user_0390,100,0.44,0.5,0.06,hard
user_0391,100,0.42,0.14,0.44,hard
user_0392,100,0.15,0.47,0.38,hard
user_0393,100,0.78,0.11,0.11,hard
user_0394,100,0.09,0.84,0.07,hard
user_0395,100,0.07,0.09,0.84,hard
user_0396,100,0.45,0.28,0.27,hard
user_0397,100,0.52,0.39,0.09,hard
user_0398,100,0.39,0.09,0.52,hard
user_0399,100,0.08,0.52,0.4,hard
user_0400,100,0.77,0.08,0.15,hard
user_0401,100,0.1,0.81,0.09,hard
user_0402,100,0.15,0.11,0.74,hard
user_0403,100,0.39,0.32,0.29,hard
user_0404,100,0.47,0.41,0.12,hard
user_0405,100,0.43,0.14,0.43,hard
user_0406,100,0.11,0.45,0.44,hard
user_0407,100,0.81,0.09,0.1,hard
user_0408,100,0.15,0.74,0.11,hard
user_0409,100,0.12,0.05,0.83,hard
user_0410,100,0.28,0.34,0.38,hard
user_0411,100,0.38,0.51,0.11,hard
user_0412,100,0.44,0.1,0.46,hard
user_0413,100,0.1,0.43,0.47,hard
user_0414,100,0.74,0.13,0.13,hard
user_0415,100,0.13,0.75,0.12,hard
user_0416,100,0.15,0.07,0.78,hard
user_0417,100,0.25,0.37,0.38,hard
user_0418,100,0.56,0.33,0.11,hard
user_0419,100,0.48,0.12,0.4,hard
user_0420,100,0.11,0.45,0.44,hard
user_0421,100,0.82,0.07,0.11,hard
user_0422,100,0.07,0.79,0.14,hard
user_0423,100,0.08,0.13,0.79,hard
user_0424,100,0.26,0.43,0.31,hard
user_0425,100,0.46,0.42,0.12,hard
user_0426,100,0.38,0.12,0.5,hard
user_0427,100,0.08,0.38,0.54,hard
user_0428,100,0.75,0.15,0.1,hard
user_0429,100,0.08,0.84,0.08,hard
user_0430,100,0.04,0.12,0.84,hard
user_0431,100,0.36,0.3,0.34,hard
user_0432,100,0.51,0.37,0.12,hard
user_0433,100,0.43,0.13,0.44,hard
user_0434,100,0.08,0.52,0.4,hard
user_0435,100,0.78,0.11,0.11,hard
user_0436,100,0.11,0.8,0.09,hard
user_0437,100,0.08,0.1,0.82,hard
user_0438,100,0.27,0.4,0.33,hard
user_0439,100,0.46,0.44,0.1,hard
user_0440,100,0.45,0.15,0.4,hard
user_0441,100,0.05,0.5,0.45,hard
user_0442,100,0.8,0.06,0.14,hard
user_0443,100,0.09,0.81,0.1,hard
user_0444,100,0.12,0.1,0.78,hard
user_0445,100,0.4,0.33,0.27,hard
user_0446,100,0.54,0.33,0.13,hard
user_0447,100,0.42,0.08,0.5,hard
user_0448,100,0.09,0.38,0.53,hard
user_0449,100,0.77,0.13,0.1,hard
user_0450,100,0.08,0.83,0.09,hard
user_0451,100,0.16,0.04,0.8,hard
user_0452,100,0.32,0.41,0.27,hard
user_0453,100,0.39,0.49,0.12,hard
user_0454,100,0.46,0.06,0.48,hard
user_0455,100,0.18,0.36,0.46,hard
user_0456,100,0.85,0.1,0.05,hard
user_0457,100,0.12,0.77,0.11,hard
user_0458,100,0.1,0.07,0.83,hard
user_0459,100,0.34,0.32,0.34,hard
user_0460,100,0.35,0.52,0.13,hard
user_0461,100,0.4,0.13,0.47,hard
user_0462,100,0.13,0.42,0.45,hard
user_0463,100,0.78,0.11,0.11,hard
user_0464,100,0.05,0.78,0.17,hard
user_0465,100,0.1,0.05,0.85,hard
user_0466,100,0.33,0.34,0.33,hard
user_0467,100,0.4,0.49,0.11,hard
user_0468,100,0.46,0.12,0.42,hard
user_0469,100,0.11,0.46,0.43,hard
user_0470,100,0.82,0.09,0.09,hard
user_0471,100,0.1,0.84,0.06,hard
user_0472,100,0.08,0.17,0.75,hard
user_0473,100,0.29,0.39,0.32,hard
user_0474,100,0.57,0.39,0.04,hard
user_0475,100,0.36,0.15,0.49,hard
user_0476,100,0.11,0.48,0.41,hard
user_0477,100,0.84,0.06,0.1,hard
user_0478,100,0.13,0.79,0.08,hard
user_0479,100,0.15,0.1,0.75,hard
user_0480,100,0.32,0.33,0.35,hard
user_0481,100,0.46,0.43,0.11,hard
user_0482,100,0.46,0.09,0.45,hard
user_0483,100,0.14,0.47,0.39,hard
user_0484,100,0.77,0.13,0.1,hard
user_0485,100,0.11,0.84,0.05,hard
user_0486,100,0.1,0.12,0.78,hard
user_0487,100,0.35,0.3,0.35,hard
user_0488,100,0.47,0.41,0.12,hard
user_0489,100,0.48,0.05,0.47,hard
user_0490,100,0.13,0.41,0.46,hard
user_0491,100,0.87,0.08,0.05,hard
user_0492,100,0.08,0.77,0.15,hard
user_0493,100,0.08,0.14,0.78,hard
user_0494,100,0.34,0.37,0.29,hard
user_0495,100,0.43,0.49,0.08,hard
user_0496,100,0.43,0.06,0.51,hard
user_0497,100,0.08,0.49,0.43,hard
user_0498,100,0.85,0.11,0.04,hard
user_0499,100,0.1,0.8,0.1,hard
user_0500,100,0.14,0.15,0.71,hard
user_0501,100,0.29,0.34,0.37,hard
user_0502,100,0.51,0.41,0.08,hard
user_0503,100,0.51,0.09,0.4,hard
user_0504,100,0.12,0.43,0.45,hard
user_0505,100,0.85,0.04,0.11,hard
user_0506,100,0.09,0.82,0.09,hard
user_0507,100,0.07,0.09,0.84,hard
user_0508,100,0.35,0.36,0.29,hard
user_0509,100,0.4,0.49,0.11,hard
user_0510,100,0.48,0.04,0.48,hard
user_0511,100,0.11,0.43,0.46,hard
user_0512,100,0.85,0.05,0.1,hard
user_0513,100,0.12,0.82,0.06,hard
user_0514,100,0.1,0.06,0.84,hard
user_0515,100,0.33,0.33,0.34,hard
user_0516,100,0.49,0.4,0.11,hard
user_0517,100,0.4,0.12,0.48,hard
user_0518,100,0.14,0.5,0.36,hard
user_0519,100,0.79,0.12,0.09,hard
user_0520,100,0.04,0.85,0.11,hard
user_0521,100,0.11,0.12,0.77,hard
user_0522,100,0.31,0.34,0.35,hard
user_0523,100,0.39,0.52,0.09,hard
user_0524,100,0.39,0.09,0.52,hard
user_0525,100,0.08,0.41,0.51,hard
user_0526,100,0.77,0.08,0.15,hard
user_0527,100,0.1,0.76,0.14,hard
user_0528,100,0.14,0.09,0.77,hard
user_0529,100,0.31,0.27,0.42,hard
user_0530,100,0.44,0.48,0.08,hard
user_0531,100,0.45,0.13,0.42,hard
user_0532,100,0.07,0.52,0.41,hard
user_0533,100,0.74,0.14,0.12,hard
user_0534,100,0.11,0.79,0.1,hard
user_0535,100,0.09,0.11,0.8,hard
user_0536,100,0.39,0.35,0.26,hard
user_0537,100,0.54,0.41,0.05,hard
user_0538,100,0.45,0.08,0.47,hard
user_0539,100,0.12,0.47,0.41,hard
user_0540,100,0.8,0.12,0.08,hard
user_0541,100,0.05,0.84,0.11,hard
user_0542,100,0.14,0.12,0.74,hard
user_0543,100,0.4,0.31,0.29,hard
user_0544,100,0.45,0.48,0.07,hard
user_0545,100,0.38,0.11,0.51,hard
user_0546,100,0.14,0.48,0.38,hard
user_0547,100,0.79,0.09,0.12,hard
user_0548,100,0.12,0.78,0.1,hard
user_0549,100,0.1,0.11,0.79,hard
user_0550,100,0.3,0.33,0.37,hard
user_0551,100,0.36,0.51,0.13,hard
user_0552,100,0.38,0.11,0.51,hard
user_0553,100,0.13,0.37,0.5,hard
user_0554,100,0.8,0.08,0.12,hard
user_0555,100,0.14,0.77,0.09,hard
user_0556,100,0.13,0.09,0.78,hard
user_0557,100,0.32,0.29,0.39,hard
user_0558,100,0.38,0.53,0.09,hard
user_0559,100,0.43,0.13,0.44,hard
user_0560,100,0.12,0.47,0.41,hard
user_0561,100,0.76,0.11,0.13,hard
user_0562,100,0.11,0.81,0.08,hard
user_0563,100,0.06,0.07,0.87,hard
user_0564,100,0.34,0.32,0.34,hard
user_0565,100,0.4,0.48,0.12,hard
user_0566,100,0.39,0.13,0.48,hard
user_0567,100,0.09,0.5,0.41,hard
user_0568,100,0.82,0.12,0.06,hard
user_0569,100,0.11,0.78,0.11,hard
user_0570,100,0.09,0.08,0.83,hard
user_0571,100,0.36,0.35,0.29,hard
user_0572,100,0.44,0.42,0.14,hard
user_0573,100,0.47,0.06,0.47,hard
user_0574,100,0.11,0.49,0.4,hard
user_0575,100,0.83,0.07,0.1,hard
user_0576,100,0.13,0.78,0.09,hard
user_0577,100,0.11,0.07,0.82,hard
user_0578,100,0.3,0.31,0.39,hard
user_0579,100,0.45,0.41,0.14,hard
user_0580,100,0.39,0.12,0.49,hard
user_0581,100,0.13,0.47,0.4,hard
user_0582,100,0.83,0.09,0.08,hard
user_0583,100,0.04,0.89,0.07,hard
user_0584,100,0.09,0.04,0.87,hard
user_0585,100,0.38,0.32,0.3,hard
user_0586,100,0.42,0.48,0.1,hard
user_0587,100,0.39,0.08,0.53,hard
user_0588,100,0.08,0.47,0.45,hard
user_0589,100,0.75,0.09,0.16,hard
user_0590,100,0.15,0.75,0.1,hard
user_0591,100,0.1,0.07,0.83,hard
user_0592,100,0.35,0.35,0.3,hard
user_0593,100,0.44,0.44,0.12,hard
user_0594,100,0.39,0.1,0.51,hard
user_0595,100,0.15,0.43,0.42,hard
user_0596,100,0.74,0.17,0.09,hard
user_0597,100,0.08,0.83,0.09,hard
user_0598,100,0.1,0.07,0.83,hard
user_0599,100,0.31,0.34,0.35,hard
user_0600,100,0.36,0.51,0.13,hard
user_0601,100,0.51,0.05,0.44,hard
user_0602,100,0.08,0.45,0.47,hard
user_0603,100,0.8,0.08,0.12,hard
user_0604,100,0.15,0.73,0.12,hard
user_0605,100,0.08,0.11,0.81,hard
user_0606,100,0.3,0.35,0.35,hard
user_0607,100,0.42,0.51,0.07,hard
user_0608,100,0.43,0.12,0.45,hard
user_0609,100,0.15,0.41,0.44,hard
user_0610,100,0.84,0.06,0.1,hard
user_0611,100,0.12,0.76,0.12,hard
user_0612,100,0.15,0.07,0.78,hard
user_0613,100,0.31,0.37,0.32,hard
user_0614,100,0.49,0.42,0.09,hard
user_0615,100,0.42,0.08,0.5,hard
user_0616,100,0.06,0.51,0.43,hard
user_0617,100,0.78,0.11,0.11,hard
user_0618,100,0.09,0.8,0.11,hard
user_0619,100,0.1,0.12,0.78,hard
user_0620,100,0.24,0.41,0.35,hard
user_0621,100,0.42,0.49,0.09,hard
user_0622,100,0.45,0.13,0.42,hard
user_0623,100,0.09,0.56,0.35,hard
user_0624,100,0.8,0.09,0.11,hard
user_0625,100,0.11,0.72,0.17,hard
user_0626,100,0.13,0.11,0.76,hard
user_0627,100,0.42,0.25,0.33,hard
user_0628,100,0.47,0.43,0.1,hard
user_0629,100,0.46,0.09,0.45,hard
user_0630,100,0.13,0.45,0.42,hard
user_0631,100,0.78,0.14,0.08,hard
user_0632,100,0.05,0.84,0.11,hard
user_0633,100,0.08,0.13,0.79,hard
user_0634,100,0.26,0.33,0.41,hard
